,alpha,beta,depth,gof,hemi,model,ns,power,subject
0,0.0,0.25,0.9,0.6403935202977389,lh,lasso,5.0,0.0,CC110033
1,0.0,0.25,0.9,0.6403935202977389,rh,lasso,9.0,0.0,CC110033
2,0.0,0.15,0.9,0.7637040245831282,lh,lasso,10.0,0.0,CC110033
3,0.0,0.15,0.9,0.7637040245831282,rh,lasso,18.0,0.0,CC110033
4,0.0,0.8,0.9,0.1740856432017126,lh,lasso,1.0,0.0,CC110033
5,0.0,0.8,0.9,0.1740856432017126,rh,lasso,1.0,0.0,CC110033
6,0.0,0.4,0.9,0.4728316742692935,lh,lasso,3.0,0.0,CC110033
7,0.0,0.4,0.9,0.4728316742692935,rh,lasso,4.0,0.0,CC110033
8,0.0,0.6,0.9,0.3151130294340999,lh,lasso,1.0,0.0,CC110033
9,0.0,0.6,0.9,0.3151130294340999,rh,lasso,2.0,0.0,CC110033
10,0.0,0.2,0.9,0.6984598863882461,lh,lasso,11.0,0.0,CC110033
11,0.0,0.2,0.9,0.6984598863882461,rh,lasso,12.0,0.0,CC110033
12,0.0,0.7,0.9,0.24735461789411162,lh,lasso,1.0,0.0,CC110033
13,0.0,0.7,0.9,0.24735461789411162,rh,lasso,1.0,0.0,CC110033
14,0.0,0.5,0.9,0.3865962028990966,lh,lasso,1.0,0.0,CC110033
15,0.0,0.5,0.9,0.3865962028990966,rh,lasso,3.0,0.0,CC110033
16,0.0,0.1,0.9,0.8380602395977121,lh,lasso,16.0,0.0,CC110033
17,0.0,0.1,0.9,0.8380602395977121,rh,lasso,21.0,0.0,CC110033
18,0.0,0.3,0.9,0.5881477353172232,lh,lasso,4.0,0.0,CC110033
19,0.0,0.3,0.9,0.5881477353172232,rh,lasso,7.0,0.0,CC110033
20,0.0,0.25,0.9,0.6252134201839123,lh,lasso,3.0,0.0,CC110101
21,0.0,0.25,0.9,0.6252134201839123,rh,lasso,6.0,0.0,CC110101
22,0.0,0.15,0.9,0.7580302749692438,lh,lasso,7.0,0.0,CC110101
23,0.0,0.15,0.9,0.7580302749692438,rh,lasso,10.0,0.0,CC110101
24,0.0,0.8,0.9,0.18998493775226477,lh,lasso,0.0,0.0,CC110101
25,0.0,0.8,0.9,0.18998493775226477,rh,lasso,1.0,0.0,CC110101
26,0.0,0.4,0.9,0.5091462586722819,lh,lasso,0.0,0.0,CC110101
27,0.0,0.4,0.9,0.5091462586722819,rh,lasso,3.0,0.0,CC110101
28,0.0,0.6,0.9,0.36954714850459747,lh,lasso,0.0,0.0,CC110101
29,0.0,0.6,0.9,0.36954714850459747,rh,lasso,2.0,0.0,CC110101
30,0.0,0.2,0.9,0.6881624927403529,lh,lasso,3.0,0.0,CC110101
31,0.0,0.2,0.9,0.6881624927403529,rh,lasso,7.0,0.0,CC110101
32,0.0,0.7,0.9,0.2815364850737365,lh,lasso,0.0,0.0,CC110101
33,0.0,0.7,0.9,0.2815364850737365,rh,lasso,2.0,0.0,CC110101
34,0.0,0.5,0.9,0.4440177840737082,lh,lasso,0.0,0.0,CC110101
35,0.0,0.5,0.9,0.4440177840737082,rh,lasso,2.0,0.0,CC110101
36,0.0,0.1,0.9,0.8367594697602575,lh,lasso,11.0,0.0,CC110101
37,0.0,0.1,0.9,0.8367594697602575,rh,lasso,18.0,0.0,CC110101
38,0.0,0.3,0.9,0.5731531100069034,lh,lasso,1.0,0.0,CC110101
39,0.0,0.3,0.9,0.5731531100069034,rh,lasso,4.0,0.0,CC110101
40,0.0,0.25,0.9,0.6843252278055928,lh,lasso,14.0,0.0,CC110187
41,0.0,0.25,0.9,0.6843252278055928,rh,lasso,6.0,0.0,CC110187
42,0.0,0.15,0.9,0.8259993935993641,lh,lasso,19.0,0.0,CC110187
43,0.0,0.15,0.9,0.8259993935993641,rh,lasso,12.0,0.0,CC110187
44,0.0,0.8,0.9,0.1273843408732963,lh,lasso,1.0,0.0,CC110187
45,0.0,0.8,0.9,0.1273843408732963,rh,lasso,1.0,0.0,CC110187
46,0.0,0.4,0.9,0.5025897396852455,lh,lasso,6.0,0.0,CC110187
47,0.0,0.4,0.9,0.5025897396852455,rh,lasso,3.0,0.0,CC110187
48,0.0,0.6,0.9,0.3088013340247976,lh,lasso,2.0,0.0,CC110187
49,0.0,0.6,0.9,0.3088013340247976,rh,lasso,2.0,0.0,CC110187
50,0.0,0.2,0.9,0.7538948819385994,lh,lasso,16.0,0.0,CC110187
51,0.0,0.2,0.9,0.7538948819385994,rh,lasso,8.0,0.0,CC110187
52,0.0,0.7,0.9,0.21996560918477126,lh,lasso,1.0,0.0,CC110187
53,0.0,0.7,0.9,0.21996560918477126,rh,lasso,2.0,0.0,CC110187
54,0.0,0.5,0.9,0.3941481339948051,lh,lasso,2.0,0.0,CC110187
55,0.0,0.5,0.9,0.3941481339948051,rh,lasso,2.0,0.0,CC110187
56,0.0,0.1,0.9,0.8946278536847762,lh,lasso,19.0,0.0,CC110187
57,0.0,0.1,0.9,0.8946278536847762,rh,lasso,18.0,0.0,CC110187
58,0.0,0.3,0.9,0.6149370921061176,lh,lasso,10.0,0.0,CC110187
59,0.0,0.3,0.9,0.6149370921061176,rh,lasso,4.0,0.0,CC110187
60,0.0,0.25,0.9,0.6406653639273843,lh,lasso,4.0,0.0,CC110411
61,0.0,0.25,0.9,0.6406653639273843,rh,lasso,12.0,0.0,CC110411
62,0.0,0.15,0.9,0.8022317145110738,lh,lasso,11.0,0.0,CC110411
63,0.0,0.15,0.9,0.8022317145110738,rh,lasso,22.0,0.0,CC110411
64,0.0,0.8,0.9,0.14237471871250285,lh,lasso,0.0,0.0,CC110411
65,0.0,0.8,0.9,0.14237471871250285,rh,lasso,1.0,0.0,CC110411
66,0.0,0.4,0.9,0.43975979270718313,lh,lasso,2.0,0.0,CC110411
67,0.0,0.4,0.9,0.43975979270718313,rh,lasso,5.0,0.0,CC110411
68,0.0,0.6,0.9,0.26148698613654053,lh,lasso,0.0,0.0,CC110411
69,0.0,0.6,0.9,0.26148698613654053,rh,lasso,2.0,0.0,CC110411
70,0.0,0.2,0.9,0.7229498699197106,lh,lasso,9.0,0.0,CC110411
71,0.0,0.2,0.9,0.7229498699197106,rh,lasso,16.0,0.0,CC110411
72,0.0,0.7,0.9,0.20169751817604575,lh,lasso,0.0,0.0,CC110411
73,0.0,0.7,0.9,0.20169751817604575,rh,lasso,1.0,0.0,CC110411
74,0.0,0.5,0.9,0.3422650965440792,lh,lasso,0.0,0.0,CC110411
75,0.0,0.5,0.9,0.3422650965440792,rh,lasso,3.0,0.0,CC110411
76,0.0,0.1,0.9,0.8758834776989347,lh,lasso,17.0,0.0,CC110411
77,0.0,0.1,0.9,0.8758834776989347,rh,lasso,23.0,0.0,CC110411
78,0.0,0.3,0.9,0.5718726052783261,lh,lasso,4.0,0.0,CC110411
79,0.0,0.3,0.9,0.5718726052783261,rh,lasso,9.0,0.0,CC110411
80,0.0,0.25,0.9,0.6335226520242911,lh,lasso,11.0,0.0,CC110606
81,0.0,0.25,0.9,0.6335226520242911,rh,lasso,6.0,0.0,CC110606
82,0.0,0.15,0.9,0.7872237085760436,lh,lasso,16.0,0.0,CC110606
83,0.0,0.15,0.9,0.7872237085760436,rh,lasso,14.0,0.0,CC110606
84,0.0,0.8,0.9,0.15202806728666252,lh,lasso,1.0,0.0,CC110606
85,0.0,0.8,0.9,0.15202806728666252,rh,lasso,0.0,0.0,CC110606
86,0.0,0.4,0.9,0.4260723523414195,lh,lasso,4.0,0.0,CC110606
87,0.0,0.4,0.9,0.4260723523414195,rh,lasso,2.0,0.0,CC110606
88,0.0,0.6,0.9,0.27728809547851696,lh,lasso,2.0,0.0,CC110606
89,0.0,0.6,0.9,0.27728809547851696,rh,lasso,0.0,0.0,CC110606
90,0.0,0.2,0.9,0.7137607112785295,lh,lasso,12.0,0.0,CC110606
91,0.0,0.2,0.9,0.7137607112785295,rh,lasso,10.0,0.0,CC110606
92,0.0,0.7,0.9,0.21537309532277193,lh,lasso,1.0,0.0,CC110606
93,0.0,0.7,0.9,0.21537309532277193,rh,lasso,0.0,0.0,CC110606
94,0.0,0.5,0.9,0.33984150713583017,lh,lasso,2.0,0.0,CC110606
95,0.0,0.5,0.9,0.33984150713583017,rh,lasso,0.0,0.0,CC110606
96,0.0,0.1,0.9,0.8636739113789427,lh,lasso,20.0,0.0,CC110606
97,0.0,0.1,0.9,0.8636739113789427,rh,lasso,22.0,0.0,CC110606
98,0.0,0.3,0.9,0.5572155872272728,lh,lasso,8.0,0.0,CC110606
99,0.0,0.3,0.9,0.5572155872272728,rh,lasso,4.0,0.0,CC110606
100,0.0,0.25,0.9,0.6919900005860214,lh,lasso,10.0,0.0,CC112141
101,0.0,0.25,0.9,0.6919900005860214,rh,lasso,11.0,0.0,CC112141
102,0.0,0.15,0.9,0.8434568966232732,lh,lasso,16.0,0.0,CC112141
103,0.0,0.15,0.9,0.8434568966232732,rh,lasso,16.0,0.0,CC112141
104,0.0,0.8,0.9,0.12952315602628983,lh,lasso,2.0,0.0,CC112141
105,0.0,0.8,0.9,0.12952315602628983,rh,lasso,0.0,0.0,CC112141
106,0.0,0.4,0.9,0.4750089737110609,lh,lasso,5.0,0.0,CC112141
107,0.0,0.4,0.9,0.4750089737110609,rh,lasso,6.0,0.0,CC112141
108,0.0,0.6,0.9,0.28745506935235254,lh,lasso,4.0,0.0,CC112141
109,0.0,0.6,0.9,0.28745506935235254,rh,lasso,1.0,0.0,CC112141
110,0.0,0.2,0.9,0.76969816329695,lh,lasso,13.0,0.0,CC112141
111,0.0,0.2,0.9,0.76969816329695,rh,lasso,15.0,0.0,CC112141
112,0.0,0.7,0.9,0.1991450474862979,lh,lasso,3.0,0.0,CC112141
113,0.0,0.7,0.9,0.1991450474862979,rh,lasso,1.0,0.0,CC112141
114,0.0,0.5,0.9,0.3693199989877698,lh,lasso,4.0,0.0,CC112141
115,0.0,0.5,0.9,0.3693199989877698,rh,lasso,2.0,0.0,CC112141
116,0.0,0.1,0.9,0.9074466785033691,lh,lasso,17.0,0.0,CC112141
117,0.0,0.1,0.9,0.9074466785033691,rh,lasso,18.0,0.0,CC112141
118,0.0,0.3,0.9,0.6073570278299018,lh,lasso,8.0,0.0,CC112141
119,0.0,0.3,0.9,0.6073570278299018,rh,lasso,7.0,0.0,CC112141
120,0.0,0.25,0.9,0.6786837665075952,lh,lasso,11.0,0.0,CC120008
121,0.0,0.25,0.9,0.6786837665075952,rh,lasso,12.0,0.0,CC120008
122,0.0,0.15,0.9,0.8378866317988101,lh,lasso,20.0,0.0,CC120008
123,0.0,0.15,0.9,0.8378866317988101,rh,lasso,19.0,0.0,CC120008
124,0.0,0.8,0.9,0.12942825401076663,lh,lasso,2.0,0.0,CC120008
125,0.0,0.8,0.9,0.12942825401076663,rh,lasso,1.0,0.0,CC120008
126,0.0,0.4,0.9,0.46295206906420894,lh,lasso,5.0,0.0,CC120008
127,0.0,0.4,0.9,0.46295206906420894,rh,lasso,6.0,0.0,CC120008
128,0.0,0.6,0.9,0.2659192852037049,lh,lasso,2.0,0.0,CC120008
129,0.0,0.6,0.9,0.2659192852037049,rh,lasso,2.0,0.0,CC120008
130,0.0,0.2,0.9,0.7555372276097729,lh,lasso,15.0,0.0,CC120008
131,0.0,0.2,0.9,0.7555372276097729,rh,lasso,17.0,0.0,CC120008
132,0.0,0.7,0.9,0.20128218152454902,lh,lasso,2.0,0.0,CC120008
133,0.0,0.7,0.9,0.20128218152454902,rh,lasso,1.0,0.0,CC120008
134,0.0,0.5,0.9,0.3543168919278553,lh,lasso,2.0,0.0,CC120008
135,0.0,0.5,0.9,0.3543168919278553,rh,lasso,4.0,0.0,CC120008
136,0.0,0.1,0.9,0.9062180168228887,lh,lasso,21.0,0.0,CC120008
137,0.0,0.1,0.9,0.9062180168228887,rh,lasso,26.0,0.0,CC120008
138,0.0,0.3,0.9,0.6038941270102638,lh,lasso,11.0,0.0,CC120008
139,0.0,0.3,0.9,0.6038941270102638,rh,lasso,10.0,0.0,CC120008
140,0.0,0.25,0.9,0.6925676902654709,lh,lasso,13.0,0.0,CC120049
141,0.0,0.25,0.9,0.6925676902654709,rh,lasso,16.0,0.0,CC120049
142,0.0,0.15,0.9,0.8597523124394651,lh,lasso,17.0,0.0,CC120049
143,0.0,0.15,0.9,0.8597523124394651,rh,lasso,24.0,0.0,CC120049
144,0.0,0.8,0.9,0.10513318340917277,lh,lasso,0.0,0.0,CC120049
145,0.0,0.8,0.9,0.10513318340917277,rh,lasso,1.0,0.0,CC120049
146,0.0,0.4,0.9,0.42989206255076684,lh,lasso,5.0,0.0,CC120049
147,0.0,0.4,0.9,0.42989206255076684,rh,lasso,9.0,0.0,CC120049
148,0.0,0.6,0.9,0.19231785511950483,lh,lasso,1.0,0.0,CC120049
149,0.0,0.6,0.9,0.19231785511950483,rh,lasso,1.0,0.0,CC120049
150,0.0,0.2,0.9,0.7788993203996419,lh,lasso,14.0,0.0,CC120049
151,0.0,0.2,0.9,0.7788993203996419,rh,lasso,18.0,0.0,CC120049
152,0.0,0.7,0.9,0.1489386764963283,lh,lasso,0.0,0.0,CC120049
153,0.0,0.7,0.9,0.1489386764963283,rh,lasso,1.0,0.0,CC120049
154,0.0,0.5,0.9,0.2865511267687446,lh,lasso,4.0,0.0,CC120049
155,0.0,0.5,0.9,0.2865511267687446,rh,lasso,4.0,0.0,CC120049
156,0.0,0.1,0.9,0.9259781391282854,lh,lasso,21.0,0.0,CC120049
157,0.0,0.1,0.9,0.9259781391282854,rh,lasso,25.0,0.0,CC120049
158,0.0,0.3,0.9,0.6003841598343118,lh,lasso,9.0,0.0,CC120049
159,0.0,0.3,0.9,0.6003841598343118,rh,lasso,13.0,0.0,CC120049
160,0.0,0.25,0.9,0.7629214618664741,lh,lasso,11.0,0.0,CC120061
161,0.0,0.25,0.9,0.7629214618664741,rh,lasso,8.0,0.0,CC120061
162,0.0,0.15,0.9,0.8746442025384167,lh,lasso,19.0,0.0,CC120061
163,0.0,0.15,0.9,0.8746442025384167,rh,lasso,14.0,0.0,CC120061
164,0.0,0.8,0.9,0.11075897534044155,lh,lasso,2.0,0.0,CC120061
165,0.0,0.8,0.9,0.11075897534044155,rh,lasso,0.0,0.0,CC120061
166,0.0,0.4,0.9,0.5863633626730687,lh,lasso,7.0,0.0,CC120061
167,0.0,0.4,0.9,0.5863633626730687,rh,lasso,4.0,0.0,CC120061
168,0.0,0.6,0.9,0.3518708364590639,lh,lasso,4.0,0.0,CC120061
169,0.0,0.6,0.9,0.3518708364590639,rh,lasso,1.0,0.0,CC120061
170,0.0,0.2,0.9,0.8202303000107738,lh,lasso,13.0,0.0,CC120061
171,0.0,0.2,0.9,0.8202303000107738,rh,lasso,10.0,0.0,CC120061
172,0.0,0.7,0.9,0.2340084921397284,lh,lasso,3.0,0.0,CC120061
173,0.0,0.7,0.9,0.2340084921397284,rh,lasso,1.0,0.0,CC120061
174,0.0,0.5,0.9,0.4650198624742389,lh,lasso,4.0,0.0,CC120061
175,0.0,0.5,0.9,0.4650198624742389,rh,lasso,2.0,0.0,CC120061
176,0.0,0.1,0.9,0.9214341764292915,lh,lasso,20.0,0.0,CC120061
177,0.0,0.1,0.9,0.9214341764292915,rh,lasso,26.0,0.0,CC120061
178,0.0,0.3,0.9,0.7065309856308191,lh,lasso,10.0,0.0,CC120061
