,alpha,beta,depth,gof,hemi,model,n_tasks,ns,power,subject
0,20.0,0.15,0.9,0.0012645711789661673,lh,mwe-S32,32.0,2560.0,1.0,CC110033
1,20.0,0.15,0.9,0.0012645711789661673,rh,mwe-S32,32.0,2558.0,1.0,CC110033
2,20.0,0.15,0.9,-0.0015276342026198098,lh,mwe-S32,32.0,2551.0,1.0,CC110101
3,20.0,0.15,0.9,-0.0015276342026198098,rh,mwe-S32,32.0,2558.0,1.0,CC110101
4,20.0,0.15,0.9,0.0023639300848226075,lh,mwe-S32,32.0,2555.0,1.0,CC110187
5,20.0,0.15,0.9,0.0023639300848226075,rh,mwe-S32,32.0,2554.0,1.0,CC110187
6,20.0,0.15,0.9,-0.0004564638193704784,lh,mwe-S32,32.0,2555.0,1.0,CC110411
7,20.0,0.15,0.9,-0.0004564638193704784,rh,mwe-S32,32.0,2557.0,1.0,CC110411
8,20.0,0.15,0.9,-0.0005079764057469571,lh,mwe-S32,32.0,2554.0,1.0,CC110606
9,20.0,0.15,0.9,-0.0005079764057469571,rh,mwe-S32,32.0,2559.0,1.0,CC110606
10,20.0,0.15,0.9,-0.00023249937622260575,lh,mwe-S32,32.0,2558.0,1.0,CC112141
11,20.0,0.15,0.9,-0.00023249937622260575,rh,mwe-S32,32.0,2559.0,1.0,CC112141
12,20.0,0.15,0.9,0.0020180609614943723,lh,mwe-S32,32.0,2558.0,1.0,CC120008
13,20.0,0.15,0.9,0.0020180609614943723,rh,mwe-S32,32.0,2551.0,1.0,CC120008
14,20.0,0.15,0.9,0.003479175229524123,lh,mwe-S32,32.0,2554.0,1.0,CC120049
15,20.0,0.15,0.9,0.003479175229524123,rh,mwe-S32,32.0,2551.0,1.0,CC120049
16,20.0,0.15,0.9,0.0016515201566038584,lh,mwe-S32,32.0,2553.0,1.0,CC120061
17,20.0,0.15,0.9,0.0016515201566038584,rh,mwe-S32,32.0,2557.0,1.0,CC120061
18,20.0,0.15,0.9,-0.0008811568008866288,lh,mwe-S32,32.0,2554.0,1.0,CC120120
19,20.0,0.15,0.9,-0.0008811568008866288,rh,mwe-S32,32.0,2556.0,1.0,CC120120
20,20.0,0.15,0.9,0.003833737401648718,lh,mwe-S32,32.0,2550.0,1.0,CC120166
21,20.0,0.15,0.9,0.003833737401648718,rh,mwe-S32,32.0,2557.0,1.0,CC120166
22,20.0,0.15,0.9,0.0014136922056161572,lh,mwe-S32,32.0,2550.0,1.0,CC120182
23,20.0,0.15,0.9,0.0014136922056161572,rh,mwe-S32,32.0,2557.0,1.0,CC120182
24,20.0,0.15,0.9,0.0019724443574046235,lh,mwe-S32,32.0,2553.0,1.0,CC120218
25,20.0,0.15,0.9,0.0019724443574046235,rh,mwe-S32,32.0,2554.0,1.0,CC120218
26,20.0,0.15,0.9,-0.0017018621663023037,lh,mwe-S32,32.0,2559.0,1.0,CC120264
27,20.0,0.15,0.9,-0.0017018621663023037,rh,mwe-S32,32.0,2554.0,1.0,CC120264
28,20.0,0.15,0.9,0.0011998312096588304,lh,mwe-S32,32.0,2557.0,1.0,CC120309
29,20.0,0.15,0.9,0.0011998312096588304,rh,mwe-S32,32.0,2555.0,1.0,CC120309
30,20.0,0.15,0.9,0.0011577635736222947,lh,mwe-S32,32.0,2546.0,1.0,CC120313
31,20.0,0.15,0.9,0.0011577635736222947,rh,mwe-S32,32.0,2551.0,1.0,CC120313
32,20.0,0.15,0.9,0.0023245812520846787,lh,mwe-S32,32.0,2558.0,1.0,CC120319
33,20.0,0.15,0.9,0.0023245812520846787,rh,mwe-S32,32.0,2558.0,1.0,CC120319
34,20.0,0.15,0.9,0.001645823909404709,lh,mwe-S32,32.0,2559.0,1.0,CC120376
35,20.0,0.15,0.9,0.001645823909404709,rh,mwe-S32,32.0,2559.0,1.0,CC120376
36,20.0,0.15,0.9,0.0039880711023772,lh,mwe-S32,32.0,2557.0,1.0,CC120469
37,20.0,0.15,0.9,0.0039880711023772,rh,mwe-S32,32.0,2556.0,1.0,CC120469
38,20.0,0.15,0.9,0.004174725121459555,lh,mwe-S32,32.0,2558.0,1.0,CC120550
39,20.0,0.15,0.9,0.004174725121459555,rh,mwe-S32,32.0,2556.0,1.0,CC120550
40,20.0,0.15,0.9,0.0002472125168370143,lh,mwe-S32,32.0,2558.0,1.0,CC120640
41,20.0,0.15,0.9,0.0002472125168370143,rh,mwe-S32,32.0,2548.0,1.0,CC120640
42,20.0,0.15,0.9,0.003454886853426875,lh,mwe-S32,32.0,2558.0,1.0,CC120727
43,20.0,0.15,0.9,0.003454886853426875,rh,mwe-S32,32.0,2558.0,1.0,CC120727
44,20.0,0.15,0.9,-0.00010380250969577176,lh,mwe-S32,32.0,2557.0,1.0,CC120795
45,20.0,0.15,0.9,-0.00010380250969577176,rh,mwe-S32,32.0,2556.0,1.0,CC120795
46,20.0,0.15,0.9,0.0006368861690565497,lh,mwe-S32,32.0,2558.0,1.0,CC121106
47,20.0,0.15,0.9,0.0006368861690565497,rh,mwe-S32,32.0,2551.0,1.0,CC121106
48,20.0,0.15,0.9,9.095913433698755e-05,lh,mwe-S32,32.0,2558.0,1.0,CC121111
49,20.0,0.15,0.9,9.095913433698755e-05,rh,mwe-S32,32.0,2551.0,1.0,CC121111
50,20.0,0.15,0.9,0.00015683117565734594,lh,mwe-S32,32.0,2555.0,1.0,CC121144
51,20.0,0.15,0.9,0.00015683117565734594,rh,mwe-S32,32.0,2553.0,1.0,CC121144
52,20.0,0.15,0.9,0.0016067805261926749,lh,mwe-S32,32.0,2553.0,1.0,CC121411
53,20.0,0.15,0.9,0.0016067805261926749,rh,mwe-S32,32.0,2557.0,1.0,CC121411
54,20.0,0.15,0.9,0.000709654967892881,lh,mwe-S32,32.0,2554.0,1.0,CC121428
55,20.0,0.15,0.9,0.000709654967892881,rh,mwe-S32,32.0,2557.0,1.0,CC121428
56,20.0,0.15,0.9,0.0006222214912460222,lh,mwe-S32,32.0,2559.0,1.0,CC122172
57,20.0,0.15,0.9,0.0006222214912460222,rh,mwe-S32,32.0,2553.0,1.0,CC122172
58,20.0,0.15,0.9,0.0031842558287593636,lh,mwe-S32,32.0,2555.0,1.0,CC210519
59,20.0,0.15,0.9,0.0031842558287593636,rh,mwe-S32,32.0,2552.0,1.0,CC210519
60,20.0,0.15,0.9,0.003473651804089095,lh,mwe-S32,32.0,2560.0,1.0,CC220526
61,20.0,0.15,0.9,0.003473651804089095,rh,mwe-S32,32.0,2562.0,1.0,CC220526
62,20.0,0.15,0.9,0.0030834598907808486,lh,mwe-S32,32.0,2552.0,1.0,CC221373
63,20.0,0.15,0.9,0.0030834598907808486,rh,mwe-S32,32.0,2556.0,1.0,CC221373
